query_basename,run_id,budget_frac,budget_n,T_true,T_hat,Qerror,n_product,n_review,oracle_cost,method
query_5_12.graph,5,0.6,276,189.2,170.13095238095238,0.10078777811335946,208,29,237,Exact_structureO
query_5_12.graph,1,0.7,322,189.2,213.1148305084746,0.12639973841688484,235,39,274,Exact_structureO
query_5_12.graph,2,0.7,322,189.2,218.57451737451743,0.15525643432620212,235,41,276,Exact_structureO
query_5_12.graph,3,0.7,322,189.2,170.80215827338134,0.09724017825908378,243,38,281,Exact_structureO
query_5_12.graph,4,0.7,322,189.2,141.55411764705883,0.25182813082949873,237,33,270,Exact_structureO
query_5_12.graph,5,0.7,322,189.2,174.5976842105263,0.07717925892956498,235,39,274,Exact_structureO
query_5_12.graph,1,0.8,368,189.2,191.35474137931038,0.011388696507983057,264,44,308,Exact_structureO
query_5_12.graph,2,0.8,368,189.2,217.39377652050922,0.14901573213799807,265,47,312,Exact_structureO
query_5_12.graph,3,0.8,368,189.2,186.67007575757577,0.01337169261323581,266,44,310,Exact_structureO
query_5_12.graph,4,0.8,368,189.2,178.0823609226594,0.058761305905605625,264,43,307,Exact_structureO
query_5_12.graph,5,0.8,368,189.2,168.5034482758621,0.10938980826711359,265,46,311,Exact_structureO
query_5_12.graph,1,0.9,414,189.2,196.25079505300351,0.03726635863109686,293,50,343,Exact_structureO
query_5_12.graph,2,0.9,414,189.2,217.8380044843049,0.1513636600650365,287,52,339,Exact_structureO
query_5_12.graph,3,0.9,414,189.2,186.53031423290201,0.014110389889524176,290,48,338,Exact_structureO
query_5_12.graph,4,0.9,414,189.2,181.91869688385265,0.03848468877456312,289,49,338,Exact_structureO
query_5_12.graph,5,0.9,414,189.2,164.6222338204593,0.12990362674175848,289,54,343,Exact_structureO
query_5_11.graph,1,0.01,4,103.59999999999998,0.0,1.0,3,1,4,Exact_structureO
query_5_11.graph,2,0.01,4,103.59999999999998,0.0,1.0,4,0,4,Exact_structureO
query_5_11.graph,3,0.01,4,103.59999999999998,0.0,1.0,4,0,4,Exact_structureO
