query_basename,run_id,T_hat_abae,T_true,Signed_RE,ARE,oracle_cost,budget_limit_B
query_3_62.graph,1,18518.68175389195,19458.59,-0.04830299862981083,0.04830299862981083,717,754
query_3_62.graph,2,18434.82515412844,19458.59,-0.05261248866806687,0.05261248866806687,714,754
query_3_62.graph,3,19508.702963733325,19458.59,0.002575364593905579,0.002575364593905579,690,754
query_3_62.graph,4,21927.637517729334,19458.59,0.12688727794405114,0.12688727794405114,719,754
query_3_62.graph,5,18907.167004750394,19458.59,-0.02833828120380799,0.02833828120380799,691,754
query_3_62.graph,6,18219.22733106666,19458.59,-0.06369231629492884,0.06369231629492884,718,754
query_3_62.graph,7,18297.338244316314,19458.59,-0.059678103895692676,0.059678103895692676,721,754
query_3_62.graph,8,18071.858864705886,19458.59,-0.07126575642398109,0.07126575642398109,716,754
query_3_62.graph,9,18602.73813071657,19458.59,-0.043983241811633295,0.043983241811633295,645,754
query_3_62.graph,10,18013.477761782604,19458.59,-0.07426603048922847,0.07426603048922847,671,754
query_3_41.graph,1,20052.56704463505,20168.849999999995,-0.005765472764433583,0.005765472764433583,701,759
query_3_41.graph,2,21028.016830271772,20168.849999999995,0.042598701972188666,0.042598701972188666,705,759
query_3_41.graph,3,19875.420731182574,20168.849999999995,-0.014548636576573331,0.014548636576573331,707,759
query_3_41.graph,4,18714.437905230527,20168.849999999995,-0.07211180085971529,0.07211180085971529,707,759
query_3_41.graph,5,21112.012031687384,20168.849999999995,0.046763302403825154,0.046763302403825154,706,759
query_3_41.graph,6,19147.782331315786,20168.849999999995,-0.05062597365165635,0.05062597365165635,712,759
query_3_41.graph,7,20653.45527311415,20168.849999999995,0.02402741222797302,0.02402741222797302,693,759
query_3_41.graph,8,21558.58804023436,20168.849999999995,0.06890517011303898,0.06890517011303898,730,759
query_3_41.graph,9,26711.012261749347,20168.849999999995,0.32436962254909696,0.32436962254909696,680,759
query_3_41.graph,10,19672.39818047141,20168.849999999995,-0.024614780690450155,0.024614780690450155,701,759
query_3_53.graph,1,19029.422887869747,18684.51,0.01845983051574531,0.01845983051574531,717,750
query_3_53.graph,2,17501.96893615279,18684.51,-0.06328991575627135,0.06328991575627135,684,750
query_3_53.graph,3,17347.91572561473,18684.51,-0.07153488501358979,0.07153488501358979,680,750
query_3_53.graph,4,18953.066798789012,18684.51,0.014373232093804632,0.014373232093804632,665,750
query_3_53.graph,5,18182.75499013333,18684.51,-0.026854063064360206,0.026854063064360206,692,750
query_3_53.graph,6,16716.93369817634,18684.51,-0.10530521281123549,0.10530521281123549,706,750
query_3_53.graph,7,19499.146865097406,18684.51,0.04359958409920342,0.04359958409920342,699,750
query_3_53.graph,8,16782.048124504254,18684.51,-0.101820271203031,0.101820271203031,703,750
query_3_53.graph,9,17107.97934868422,18684.51,-0.08437634443267593,0.08437634443267593,687,750
query_3_53.graph,10,17715.365329918015,18684.51,-0.05186888337355293,0.05186888337355293,690,750
query_3_8.graph,1,16490.41740879383,18296.02,-0.09868827161350777,0.09868827161350777,570,755
query_3_8.graph,2,17504.32593617301,18296.02,-0.043271381635295085,0.043271381635295085,686,755
query_3_8.graph,3,18619.188966202903,18296.02,0.01766334788674816,0.01766334788674816,713,755
query_3_8.graph,4,19181.719720269008,18296.02,0.04840942020554236,0.04840942020554236,709,755
query_3_8.graph,5,23977.207519418764,18296.02,0.3105149381897682,0.3105149381897682,706,755
query_3_8.graph,6,17974.49737142406,18296.02,-0.01757336451184147,0.01757336451184147,667,755
query_3_8.graph,7,19932.859284187354,18296.02,0.08946422687488065,0.08946422687488065,686,755
