query_basename,run_id,T_hat_abae,T_true,Signed_RE,ARE,oracle_cost,budget_limit_B
query_3_104.graph,1,650.801741580311,768.0,-0.15260189898397,0.15260189898397,656,767
query_3_104.graph,2,701.6410371280733,768.0,-0.0864048995728212,0.0864048995728212,655,767
query_3_104.graph,3,812.5448373512344,768.0,0.05800109030108643,0.05800109030108643,677,767
query_3_104.graph,4,784.5060747727279,768.0,0.02149228486032273,0.02149228486032273,653,767
query_3_104.graph,5,763.1111569454637,768.0,-0.006365681060594171,0.006365681060594171,671,767
query_3_104.graph,6,787.0717020626435,768.0,0.024832945394066996,0.024832945394066996,688,767
query_3_104.graph,7,710.812650366839,768.0,-0.07446269483484509,0.07446269483484509,688,767
query_3_104.graph,8,733.2186418449198,768.0,-0.04528822676442731,0.04528822676442731,673,767
query_3_104.graph,9,726.854660380117,768.0,-0.05357466096338929,0.05357466096338929,637,767
query_3_104.graph,10,702.3532017301044,768.0,-0.08547760191392657,0.08547760191392657,685,767
query_3_110.graph,1,942.7735272600838,1007.0,-0.06378001265135667,0.06378001265135667,771,808
query_3_110.graph,2,946.6939247688928,1007.0,-0.059886867160980364,0.059886867160980364,738,808
query_3_110.graph,3,998.7985841772147,1007.0,-0.008144404987870201,0.008144404987870201,709,808
query_3_110.graph,4,1141.8178881018698,1007.0,0.1338807230405857,0.1338807230405857,768,808
query_3_110.graph,5,964.676633616973,1007.0,-0.04202916224729588,0.04202916224729588,768,808
query_3_110.graph,6,902.5658666016706,1007.0,-0.10370817616517322,0.10370817616517322,752,808
query_3_110.graph,7,951.6097262971692,1007.0,-0.055005237043526084,0.055005237043526084,730,808
query_3_110.graph,8,945.897120677094,1007.0,-0.06067813239613307,0.06067813239613307,753,808
query_3_110.graph,9,955.8029033898295,1007.0,-0.05084120815309885,0.05084120815309885,737,808
query_3_110.graph,10,956.9241553684201,1007.0,-0.04972775037892742,0.04972775037892742,733,808
query_3_105.graph,1,10319.640488545607,10357.0,-0.0036071749980103518,0.0036071749980103518,1115,1116
query_3_105.graph,2,10142.484656603216,10357.0,-0.020712111943302535,0.020712111943302535,1115,1116
query_3_105.graph,3,10522.175143170152,10357.0,0.015948164832495153,0.015948164832495153,1115,1116
query_3_105.graph,4,10225.284456187528,10357.0,-0.012717538265180253,0.012717538265180253,1115,1116
query_3_105.graph,5,10393.106488706624,10357.0,0.00348619182259574,0.00348619182259574,1115,1116
query_3_105.graph,6,10433.464256110505,10357.0,0.00738285759491211,0.00738285759491211,1115,1116
query_3_105.graph,7,10258.523273517641,10357.0,-0.009508228877315688,0.009508228877315688,1115,1116
