query_basename,run_id,T_hat_abae,T_true,Signed_RE,ARE,oracle_cost,budget_limit_B
query_cycle_4_10.graph,1,5267223.568213073,4812012.0,0.09459900935680805,0.09459900935680805,801,801
query_cycle_4_10.graph,2,4343636.474338109,4812012.0,-0.0973346545399079,0.0973346545399079,800,801
query_cycle_4_10.graph,3,3647274.29976269,4812012.0,-0.24204796252322522,0.24204796252322522,789,801
query_cycle_4_10.graph,4,3671324.3219933244,4812012.0,-0.23705004850500697,0.23705004850500697,801,801
query_cycle_4_10.graph,5,5206191.916702033,4812012.0,0.08191582163594625,0.08191582163594625,801,801
query_cycle_4_10.graph,6,3399801.3197254185,4812012.0,-0.2934761343642912,0.2934761343642912,801,801
query_cycle_4_10.graph,7,3982376.7636164557,4812012.0,-0.17240922017308857,0.17240922017308857,801,801
query_cycle_4_10.graph,8,3838754.574572728,4812012.0,-0.202255818445023,0.202255818445023,801,801
query_cycle_4_10.graph,9,4849050.48327051,4812012.0,0.007697088716842373,0.007697088716842373,801,801
query_cycle_4_10.graph,10,4985641.064395038,4812012.0,0.03608242547920463,0.03608242547920463,801,801
query_cycle_4_21.graph,1,66884149.56436489,79100643.0,-0.15444240365574666,0.15444240365574666,816,816
query_cycle_4_21.graph,2,82745758.50615045,79100643.0,0.04608199589667627,0.04608199589667627,814,816
query_cycle_4_21.graph,3,75659642.07470003,79100643.0,-0.04350155440961425,0.04350155440961425,814,816
query_cycle_4_21.graph,4,105520099.73397975,79100643.0,0.33399800219044673,0.33399800219044673,815,816
query_cycle_4_21.graph,5,71513312.33962898,79100643.0,-0.09591996186897014,0.09591996186897014,816,816
query_cycle_4_21.graph,6,76211224.08966376,79100643.0,-0.036528387137589276,0.036528387137589276,815,816
query_cycle_4_21.graph,7,85269877.54639252,79100643.0,0.07799221741335928,0.07799221741335928,816,816
query_cycle_4_21.graph,8,75304529.35258825,79100643.0,-0.04799093286020126,0.04799093286020126,809,816
query_cycle_4_21.graph,9,92484158.91587138,79100643.0,0.16919604453621676,0.16919604453621676,816,816
