query_basename,run_id,T_hat_abae,T_true,Signed_RE,ARE,oracle_cost,budget_limit_B
query_cycle_4_3.graph,1,4283736.8638012875,3285552.0,0.30381039892270384,0.30381039892270384,260,261
query_cycle_4_3.graph,2,4988092.507755743,3285552.0,0.5181900964452072,0.5181900964452072,260,261
query_cycle_4_3.graph,3,4169701.7964455322,3285552.0,0.26910235979997643,0.26910235979997643,260,261
query_cycle_4_3.graph,4,33061406.918279275,3285552.0,9.062664331071089,9.062664331071089,260,261
query_cycle_4_3.graph,5,1610780.500665665,3285552.0,-0.5097382416514288,0.5097382416514288,260,261
query_cycle_4_3.graph,6,3762449.5913842227,3285552.0,0.14514991434748947,0.14514991434748947,260,261
query_cycle_4_3.graph,7,3748199.1607557447,3285552.0,0.14081261253991556,0.14081261253991556,260,261
query_cycle_4_3.graph,8,5574479.436845105,3285552.0,0.696664498642878,0.696664498642878,260,261
query_cycle_4_3.graph,9,2784360.4376283274,3285552.0,-0.152544096812856,0.152544096812856,260,261
query_cycle_4_3.graph,10,2752136.7495939126,3285552.0,-0.16235179062942465,0.16235179062942465,260,261
query_cycle_6_104.graph,1,361204125.08181643,414253631.0,-0.12806044883691933,0.12806044883691933,325,327
query_cycle_6_104.graph,2,67011845.923420005,414253631.0,-0.8382347409685831,0.8382347409685831,325,327
query_cycle_6_104.graph,3,256114610.3397911,414253631.0,-0.381744440666614,0.381744440666614,325,327
query_cycle_6_104.graph,4,140287584.9388,414253631.0,-0.6613485689910585,0.6613485689910585,325,327
query_cycle_6_104.graph,5,596515519.2499801,414253631.0,0.43997656172621474,0.43997656172621474,325,327
query_cycle_6_104.graph,6,534944110.5139598,414253631.0,0.29134440951697976,0.29134440951697976,325,327
query_cycle_6_104.graph,7,174162306.97197133,414253631.0,-0.5795756658751621,0.5795756658751621,325,327
query_cycle_6_104.graph,8,211700692.5431948,414253631.0,-0.48895875207622547,0.48895875207622547,325,327
query_cycle_6_104.graph,9,325720502.5267207,414253631.0,-0.21371720571178118,0.21371720571178118,325,327
query_cycle_6_104.graph,10,132372446.47052138,414253631.0,-0.68045555532977,0.68045555532977,325,327
query_cycle_4_1.graph,1,4001121028.214764,2208587147.0,0.8116201724933628,0.8116201724933628,504,504
query_cycle_4_1.graph,2,752977854.4550006,2208587147.0,-0.6590680809322845,0.6590680809322845,504,504
query_cycle_4_1.graph,3,3518675866.852514,2208587147.0,0.593179545408499,0.593179545408499,504,504
query_cycle_4_1.graph,4,3752784162.282923,2208587147.0,0.699178666044697,0.699178666044697,504,504
query_cycle_4_1.graph,5,1583098116.0317242,2208587147.0,-0.2832077655699025,0.2832077655699025,504,504
query_cycle_4_1.graph,6,1067880531.6699173,2208587147.0,-0.5164870296739451,0.5164870296739451,504,504
query_cycle_4_1.graph,7,1011029078.884622,2208587147.0,-0.5422281252256956,0.5422281252256956,504,504
query_cycle_4_1.graph,8,3825561677.246776,2208587147.0,0.7321307345481786,0.7321307345481786,504,504
query_cycle_4_1.graph,9,3732157540.8707256,2208587147.0,0.689839382584583,0.689839382584583,504,504
query_cycle_4_1.graph,10,2438757957.1733947,2208587147.0,0.10421631335038946,0.10421631335038946,504,504
query_cycle_4_14.graph,1,1138022439.1964347,1693335647.0,-0.32794042267248463,0.32794042267248463,477,479
query_cycle_4_14.graph,2,1131307940.0456529,1693335647.0,-0.33190567265861565,0.33190567265861565,477,479
query_cycle_4_14.graph,3,2530659114.5871687,1693335647.0,0.49448168711892043,0.49448168711892043,477,479
query_cycle_4_14.graph,4,372194092.6455278,1693335647.0,-0.7802006393092085,0.7802006393092085,477,479
query_cycle_4_14.graph,5,2380294111.078014,1693335647.0,0.40568357802841076,0.40568357802841076,477,479
query_cycle_4_14.graph,6,533500499.7745861,1693335647.0,-0.6849410802165755,0.6849410802165755,477,479
query_cycle_4_14.graph,7,1399185116.76591,1693335647.0,-0.17371070570398858,0.17371070570398858,477,479
query_cycle_4_14.graph,8,2057295752.5482776,1693335647.0,0.21493677652926516,0.21493677652926516,477,479
query_cycle_4_14.graph,9,869472803.1082479,1693335647.0,-0.4865325107584841,0.4865325107584841,477,479
query_cycle_4_14.graph,10,412780166.04501146,1693335647.0,-0.7562325184754045,0.7562325184754045,477,479
query_cycle_4_13.graph,1,1680922300.9057817,1693335647.0,-0.007330706181146291,0.007330706181146291,479,482
query_cycle_4_13.graph,2,1820465401.747846,1693335647.0,0.07507652423964231,0.07507652423964231,479,482
query_cycle_4_13.graph,3,2022223757.567375,1693335647.0,0.19422499676898075,0.19422499676898075,479,482
query_cycle_4_13.graph,4,2253456473.683874,1693335647.0,0.330779563801313,0.330779563801313,479,482
query_cycle_4_13.graph,5,3265494021.583563,1693335647.0,0.9284387164286532,0.9284387164286532,479,482
query_cycle_4_13.graph,6,2406412004.4468517,1693335647.0,0.4211075097309705,0.4211075097309705,479,482
query_cycle_4_13.graph,7,1459449434.795629,1693335647.0,-0.13812159013999128,0.13812159013999128,479,482
query_cycle_4_13.graph,8,3156921119.621896,1693335647.0,0.8643209485460598,0.8643209485460598,479,482
query_cycle_4_13.graph,9,2263296592.982631,1693335647.0,0.33659064993547094,0.33659064993547094,479,482
query_cycle_4_13.graph,10,2966831308.1048346,1693335647.0,0.7520633392210366,0.7520633392210366,479,482
query_cycle_4_10.graph,1,875439658.7963997,480096708.0,0.823465239833304,0.823465239833304,355,355
query_cycle_4_10.graph,2,611193921.7370484,480096708.0,0.2730641796799165,0.2730641796799165,355,355
query_cycle_4_10.graph,3,690271052.0084487,480096708.0,0.43777501596292706,0.43777501596292706,355,355
query_cycle_4_10.graph,4,357397155.72083795,480096708.0,-0.2555725757635523,0.2555725757635523,355,355
query_cycle_4_10.graph,5,307528709.3722978,480096708.0,-0.3594442447784961,0.3594442447784961,355,355
