query_basename,method,T_true,T_hat,Qerror,AbsRelativeError,SuccessRate,n_post,trials
query_cycle_4_0.graph,Uniform,491800.0,688866.294949495,0.4007041377582249,0.4007041377582249,0.14747474747474748,416,495
query_cycle_4_1.graph,Uniform,491800.0,229904.01284796573,-0.5325253907117411,0.5325253907117411,0.13276231263383298,410,467
query_cycle_4_10.graph,Uniform,130348.0,20229.849094567406,-0.8448012313609153,0.8448012313609153,0.012072434607645875,309,1988
query_cycle_4_11.graph,Uniform,18124.0,24215.410150891632,0.3360963446751066,0.3360963446751066,0.005639384240207285,821,26244
query_cycle_4_12.graph,Uniform,19762.0,9668.111692844677,-0.5107726094097421,0.5107726094097421,0.015706806282722512,266,2292
query_cycle_4_13.graph,Uniform,370871.0,307889.1052631579,-0.1698215679760404,0.1698215679760404,0.09429824561403509,393,456
query_cycle_4_14.graph,Uniform,370871.0,357994.46153846156,-0.03471972319630934,0.03471972319630934,0.13626373626373625,382,455
query_cycle_4_2.graph,Uniform,443091.0,288271.4176029963,-0.3494080953957623,0.3494080953957623,0.04728464419475655,819,2136
query_cycle_4_3.graph,Uniform,5560.0,19930.578783151326,2.584636471789807,2.584636471789807,0.002827613104524181,245,10256
query_cycle_4_4.graph,Uniform,4396.0,4047.668569451652,-0.07923826900553871,0.07923826900553871,0.017125064867669952,670,5781
query_cycle_4_5.graph,Uniform,443091.0,319334.7983222649,-0.27930199818487644,0.27930199818487644,0.04578818594896889,817,2861
query_cycle_4_6.graph,Uniform,4396.0,4706.387340576287,0.07060676537222178,0.07060676537222178,0.020469217446071483,672,6351
query_cycle_4_7.graph,Uniform,95992.0,77672.35055643879,-0.1908455855025545,0.1908455855025545,0.021462639109697933,391,2516
query_cycle_4_8.graph,Uniform,130348.0,222833.37088514995,0.7095265818052441,0.7095265818052441,0.012801755669348939,302,2734
query_cycle_4_9.graph,Uniform,1502.0,1742.1137566137565,0.15986268749251434,0.15986268749251434,0.00481859410430839,339,10584
query_cycle_6_104.graph,Uniform,111915.0,135139.44086021505,0.20751857088160702,0.20751857088160702,0.017055988134964777,283,2697
query_cycle_6_106.graph,Uniform,111915.0,98477.06554989074,-0.12007268418093425,0.12007268418093425,0.014202476329206118,275,2746
query_cycle_6_109.graph,Uniform,111915.0,61555.46547737034,-0.4499802039282461,0.4499802039282461,0.013544763792533861,280,3027
query_cycle_6_112.graph,Uniform,5454872.0,34520997.08677686,5.328470601469083,5.328470601469083,0.09504132231404959,310,484
query_cycle_6_113.graph,Uniform,846918.0,303537.0982,-0.6415980080716197,0.6415980080716197,0.0008,210,40000
query_cycle_6_116.graph,Uniform,626370.0,142587.5456271864,-0.7723589162520772,0.7723589162520772,0.0024987506246876563,154,10005
query_cycle_6_118.graph,Uniform,626370.0,12949.279487810883,-0.9793264691990183,0.9793264691990183,0.002708692440285644,157,8122
query_cycle_6_119.graph,Uniform,976115.0,649937.582,-0.3341588009609523,0.3341588009609523,0.0195,477,4000
query_cycle_6_120.graph,Uniform,336746.0,162185.94746007264,-0.5183730542899615,0.5183730542899615,0.002686700830887109,365,20099
query_cycle_6_121.graph,Uniform,116775.0,17605.34985720114,-0.8492369954425079,0.8492369954425079,0.0021419828641370867,371,19608
query_cycle_6_122.graph,Uniform,2573014.0,1006631.4879621668,-0.6087734120521043,0.6087734120521043,0.00816852966466036,247,4652
query_cycle_6_123.graph,Uniform,626370.0,34845.044002411094,-0.9443698708392626,0.9443698708392626,0.0018083182640144665,154,11613
query_cycle_6_124.graph,Uniform,2399067.0,596538.1794406102,-0.7513457608976281,0.7513457608976281,0.008899382491827097,347,5506
query_cycle_6_125.graph,Uniform,5454872.0,6305197.874747475,0.15588374479684852,0.15588374479684852,0.09090909090909091,315,495
query_cycle_6_126.graph,Uniform,626370.0,41195.61091439283,-0.9342311877733722,0.9342311877733722,0.0010414496979795876,155,9602
query_cycle_6_127.graph,Uniform,1163.0,525.0434,-0.5485439380911435,0.5485439380911435,0.000375,113,40000
query_cycle_6_128.graph,Uniform,5454872.0,2997028.8497854075,-0.45057760296017807,0.45057760296017807,0.12017167381974249,306,466
query_cycle_6_129.graph,Uniform,2286698.0,531510.6296216216,-0.7675641341263159,0.7675641341263159,0.0073513513513513516,251,4625
query_cycle_6_130.graph,Uniform,42698.0,42933.40272373541,0.005513202579404407,0.005513202579404407,0.004307948860478044,218,7196
query_cycle_6_132.graph,Uniform,67470.0,17022.0255560814,-0.7477097145978746,0.7477097145978746,0.003904401325130147,252,8452
query_cycle_6_133.graph,Uniform,2573014.0,3856046.056965303,0.49864946594356,0.49864946594356,0.010616261004660798,242,3862
query_cycle_6_135.graph,Uniform,2399067.0,6370503.292835919,1.6554086621323703,1.6554086621323703,0.00808847804555959,341,6058
query_cycle_6_136.graph,Uniform,847026.0,240194.47357940074,-0.7164260913131348,0.7164260913131348,0.00162089566063076,307,21593
query_cycle_6_138.graph,Uniform,111915.0,36458.69919666766,-0.6742286628542407,0.6742286628542407,0.003867896459387087,284,10083
query_cycle_6_140.graph,Uniform,336746.0,306045.90444917214,-0.09116691972830518,0.09116691972830518,0.0023587087225973545,358,21622
