query_basename,method,T_true,T_hat,Qerror,AbsRelativeError,SuccessRate,n_post
query_dense_1_1.graph,Importance (Post),16656.0,13332.227364452176,-0.1995540727394227,0.1995540727394227,0.1815,1529
query_dense_1_2.graph,Uniform,2704.0,1467.641,-0.45723335798816567,0.45723335798816567,0.005,46
query_dense_1_2.graph,Importance (Post),2704.0,7733.064569096865,1.8598611572103791,1.8598611572103791,0.004,49
query_dense_1_3.graph,Uniform,463744.0,436096.087,-0.05961891258970466,0.05961891258970466,0.1385,1447
query_dense_1_3.graph,Importance (Post),463744.0,467732.7779563808,0.008601249733432239,0.008601249733432239,0.1955,1443
query_path_4_0.graph,Uniform,491800.0,455278.775,-0.07426031923546152,0.07426031923546152,0.139,1470
query_path_4_0.graph,Importance (Post),491800.0,520215.8589050551,0.05777929830226737,0.05777929830226737,0.2035,1437
query_path_4_10.graph,Uniform,491800.0,482419.798,-0.01907320455469701,0.01907320455469701,0.1225,1463
query_path_4_10.graph,Importance (Post),491800.0,408488.6408744614,-0.16940089289454782,0.16940089289454782,0.193,1480
query_path_4_11.graph,Uniform,491800.0,633028.704,0.2871669459129728,0.2871669459129728,0.1345,1465
query_path_4_11.graph,Importance (Post),491800.0,469171.2294981702,-0.04601214010132127,0.04601214010132127,0.1995,1437
query_path_4_12.graph,Uniform,443091.0,95975.453,-0.7833956162503866,0.7833956162503866,0.0565,803
query_path_4_12.graph,Importance (Post),443091.0,387040.2487152887,-0.12649941272720794,0.12649941272720794,0.1305,789
query_path_4_13.graph,Uniform,443091.0,420179.417,-0.05170852714227999,0.05170852714227999,0.0605,827
query_path_4_13.graph,Importance (Post),443091.0,516424.8181848517,0.16550509530740126,0.16550509530740126,0.1255,797
query_path_4_14.graph,Uniform,491800.0,465345.552,-0.05379106954046355,0.05379106954046355,0.126,1498
query_path_4_14.graph,Importance (Post),491800.0,497430.72894235543,0.011449225177623897,0.011449225177623897,0.191,1440
query_path_4_15.graph,Uniform,19762.0,4382.252,-0.7782485578382755,0.7782485578382755,0.012,201
query_path_4_15.graph,Importance (Post),19762.0,16347.00585017067,-0.17280610008244762,0.17280610008244762,0.022,185
query_path_4_16.graph,Uniform,491800.0,378506.681,-0.2303646177307849,0.2303646177307849,0.1155,1473
query_path_4_16.graph,Importance (Post),491800.0,658907.0332745088,0.3397865662352761,0.3397865662352761,0.195,1483
query_path_4_17.graph,Uniform,443091.0,95272.639,-0.7849817780094834,0.7849817780094834,0.051,772
