query_basename,method,T_true,T_hat,Qerror,AbsRelativeError,SuccessRate,n_post,trials
query_cycle_4_0.graph,Uniform,491800.0,463497.11365369946,-0.057549585901383774,0.057549585901383774,0.11060259344012205,1000,1311
query_cycle_4_1.graph,Uniform,491800.0,424706.91896144766,-0.13642350760177377,0.13642350760177377,0.1093627065302911,1000,1271
query_cycle_4_10.graph,Uniform,130348.0,114631.51349118943,-0.12057328465960791,0.12057328465960791,0.013491189427312776,1000,7264
query_cycle_4_11.graph,Uniform,18124.0,5813.29856613592,-0.6792485893767425,0.6792485893767425,0.004977516332475466,1000,35359
query_cycle_4_12.graph,Uniform,19762.0,11910.890162890162,-0.397283161477069,0.397283161477069,0.015925015925015926,1000,10989
query_cycle_4_13.graph,Uniform,370871.0,336956.73981191224,-0.09144489644131723,0.09144489644131723,0.13636363636363635,1000,1276
query_cycle_4_14.graph,Uniform,370871.0,409166.5752143414,0.10325847859320735,0.10325847859320735,0.1083398285268901,1000,1283
query_cycle_4_2.graph,Uniform,443091.0,404784.0432730134,-0.08645392645525778,0.08645392645525778,0.06845003933910307,1000,2542
query_cycle_4_3.graph,Uniform,5560.0,3483.12491293638,-0.37353868472367263,0.37353868472367263,0.0025312154930773804,1000,58865
query_cycle_4_4.graph,Uniform,4396.0,4748.059393294306,0.0800863042070759,0.0800863042070759,0.019691325172964343,1000,9395
query_cycle_4_5.graph,Uniform,443091.0,100086.88065150239,-0.7741166472541704,0.7741166472541704,0.040718899185622014,1000,3561
query_cycle_4_6.graph,Uniform,4396.0,4043.643895033615,-0.08015380003784917,0.08015380003784917,0.020928215137714163,1000,9222
query_cycle_4_7.graph,Uniform,95992.0,70896.20171844019,-0.2614363517955643,0.2614363517955643,0.021150033046926635,1000,7565
query_cycle_4_8.graph,Uniform,130348.0,187281.6087049285,0.43678160543259975,0.43678160543259975,0.01322807766161724,1000,9374
query_cycle_4_9.graph,Uniform,1502.0,2068.569522853678,0.37721006847781485,0.37721006847781485,0.004349098816543303,1000,47826
query_cycle_6_104.graph,Uniform,111915.0,122262.70568685376,0.09246040018633572,0.09246040018633572,0.016340472673559824,1000,10832
query_cycle_6_106.graph,Uniform,111915.0,200115.23056300267,0.7881001703346528,0.7881001703346528,0.01814119749776586,1000,11190
query_cycle_6_109.graph,Uniform,111915.0,111244.08044485634,-0.005994902873999525,0.005994902873999525,0.015199258572752549,1000,10790
query_cycle_6_112.graph,Uniform,5454872.0,2618238.2775510205,-0.5200183840150565,0.5200183840150565,0.09212827988338193,1000,1715
query_cycle_6_113.graph,Uniform,846918.0,208582.51001934684,-0.7537158142590583,0.7537158142590583,0.0008140589850983706,1000,482766
