query_basename,method,T_true,T_hat,Qerror,AbsRelativeError,SuccessRate,n_post
query_cycle_6_121.graph,Uniform,116775.0,28509.4432,-0.7558600453864268,0.7558600453864268,0.00245,393
query_cycle_6_121.graph,Importance (Post),116775.0,16688.298880140093,-0.8570901401829151,0.8570901401829151,0.00565,408
query_cycle_6_122.graph,Uniform,2573014.0,3380752.3855,0.3139269298573579,0.3139269298573579,0.00715,838
query_cycle_6_122.graph,Importance (Post),2573014.0,5940222.798786445,1.3086632248353272,1.3086632248353272,0.01565,824
query_cycle_6_123.graph,Uniform,626370.0,21592.9266,-0.9655268825135304,0.9655268825135304,0.0017,252
query_cycle_6_123.graph,Importance (Post),626370.0,81378.97256245548,-0.8700784319771773,0.8700784319771773,0.0034,240
query_cycle_6_124.graph,Uniform,2399067.0,793272.3631,-0.6693413051407068,0.6693413051407068,0.00855,1040
query_cycle_6_124.graph,Importance (Post),2399067.0,6057011.506816609,1.524736285738001,1.524736285738001,0.02025,991
query_cycle_6_125.graph,Uniform,5454872.0,4993960.6346,-0.08449535853453564,0.08449535853453564,0.09105,6788
query_cycle_6_125.graph,Importance (Post),5454872.0,4412054.422417144,-0.19117177773976285,0.19117177773976285,0.14445,6458
query_cycle_6_126.graph,Uniform,626370.0,66573.0226,-0.8937161380653607,0.8937161380653607,0.0019,296
query_cycle_6_126.graph,Importance (Post),626370.0,872350.0052898522,0.3927071942938713,0.3927071942938713,0.0051,329
query_cycle_6_127.graph,Uniform,1163.0,487.8356,-0.5805368873602752,0.5805368873602752,0.0005,55
query_cycle_6_127.graph,Importance (Post),1163.0,786.2756870591653,-0.3239246027006317,0.3239246027006317,0.00075,63
query_cycle_6_128.graph,Uniform,5454872.0,4314910.0162,-0.20898051939623874,0.20898051939623874,0.0916,6704
query_cycle_6_128.graph,Importance (Post),5454872.0,4298583.4678658955,-0.21197354074194674,0.21197354074194674,0.14625,6495
query_cycle_6_129.graph,Uniform,2286698.0,935021.6785,-0.591103994274714,0.591103994274714,0.00735,958
query_cycle_6_129.graph,Importance (Post),2286698.0,3117331.019701391,0.3632456142881093,0.3632456142881093,0.01675,887
query_cycle_6_130.graph,Uniform,42698.0,68146.0857,0.5960018197573655,0.5960018197573655,0.0049,500
query_cycle_6_130.graph,Importance (Post),42698.0,44839.76532276839,0.05016078792375266,0.05016078792375266,0.0074,502
query_cycle_6_132.graph,Uniform,67470.0,6897.9127,-0.8977632621906032,0.8977632621906032,0.00345,554
query_cycle_6_132.graph,Importance (Post),67470.0,274778.0916433926,3.072596585792094,3.072596585792094,0.0052,510
query_cycle_6_133.graph,Uniform,2573014.0,4652816.7861,0.808313824215492,0.808313824215492,0.01115,1032
query_cycle_6_133.graph,Importance (Post),2573014.0,1099451.3116463807,-0.5726990557974497,0.5726990557974497,0.0206,1028
query_cycle_6_135.graph,Uniform,2399067.0,2800445.067,0.16730590141917662,0.16730590141917662,0.0081,1021
query_cycle_6_135.graph,Importance (Post),2399067.0,1429102.4379906035,-0.4043090759905399,0.4043090759905399,0.01875,947
query_cycle_6_136.graph,Uniform,847026.0,92122.3786,-0.8912401997105166,0.8912401997105166,0.0016,285
query_cycle_6_136.graph,Importance (Post),847026.0,281353.0895363395,-0.6678341756494611,0.6678341756494611,0.0038,277
query_cycle_6_138.graph,Uniform,111915.0,356341.1677,2.1840340231425635,2.1840340231425635,0.0032,537
query_cycle_6_138.graph,Importance (Post),111915.0,236415.7156149716,1.1124578082917536,1.1124578082917536,0.0062,503
query_cycle_6_140.graph,Uniform,336746.0,224888.0774,-0.33217298082234087,0.33217298082234087,0.00225,292
query_cycle_6_140.graph,Importance (Post),336746.0,447533.1252085692,0.32899314381928585,0.32899314381928585,0.00575,328
query_cycle_6_142.graph,Uniform,976115.0,505366.6751,-0.4822672788554627,0.4822672788554627,0.0174,1753
query_cycle_6_142.graph,Importance (Post),976115.0,652128.2438495267,-0.33191453481451805,0.33191453481451805,0.02915,1718
query_cycle_6_143.graph,Uniform,557230.0,317547.902,-0.4301313604795147,0.4301313604795147,0.0027,352
query_cycle_6_143.graph,Importance (Post),557230.0,227324.64473025728,-0.5920452152069033,0.5920452152069033,0.00465,293
query_cycle_6_145.graph,Uniform,2573014.0,11294020.4713,3.3894127553522835,3.3894127553522835,0.0101,1036
query_cycle_6_145.graph,Importance (Post),2573014.0,3821209.8233531546,0.48511038935394624,0.48511038935394624,0.0216,988
query_cycle_6_147.graph,Uniform,2399067.0,4427356.122,0.8454491358515624,0.8454491358515624,0.01035,1307
query_cycle_6_147.graph,Importance (Post),2399067.0,848998.0771117753,-0.6461132277207033,0.6461132277207033,0.0224,1184
query_cycle_6_153.graph,Uniform,111915.0,112563.9305,0.005798422910244402,0.005798422910244402,0.0168,1595
query_cycle_6_153.graph,Importance (Post),111915.0,295930.41853386455,1.6442426710795206,1.6442426710795206,0.02805,1604
query_cycle_6_154.graph,Uniform,557230.0,121187.8717,-0.7825173237262889,0.7825173237262889,0.0024,335
query_cycle_6_154.graph,Importance (Post),557230.0,206780.13296658828,-0.6289142132214915,0.6289142132214915,0.0047,293
query_cycle_6_155.graph,Uniform,210455.0,183814.8004,-0.12658382837186094,0.12658382837186094,0.00125,123
query_cycle_6_155.graph,Importance (Post),210455.0,33340.06760406318,-0.8415810144493445,0.8415810144493445,0.00185,111
query_cycle_6_156.graph,Uniform,2286698.0,865713.8826,-0.6214131106949846,0.6214131106949846,0.01025,1102
query_cycle_6_156.graph,Importance (Post),2286698.0,1402669.123524576,-0.3865962520960022,0.3865962520960022,0.0205,1056
query_cycle_6_157.graph,Uniform,111915.0,37042.432,-0.6690128043604521,0.6690128043604521,0.00385,520
query_cycle_6_157.graph,Importance (Post),111915.0,125263.79647584369,0.11927620493985334,0.11927620493985334,0.0065,483
