query_index,query_basename,gt_match_col,T_true,method,T_hat,Qerror,n_post,n_comment
8,query_cycle_4_3.graph,u0,5560.0,PO,6805.979600868794,0.22409705051597006,245,0
8,query_cycle_4_3.graph,u0,5560.0,MAB,4566.442747906896,0.17869734749875965,146,0
8,query_cycle_4_3.graph,u0,5560.0,FOIS_nrs,5235.659986182324,0.0583345348592942,245,0
8,query_cycle_4_3.graph,u0,5560.0,FOIS_rs,6832.026356057432,0.22878171871536548,245,0
8,query_cycle_4_3.graph,u0,5560.0,POSS,6857.30758873643,0.23332870301014932,444,0
225,query_cycle_6_127.graph,u1,1163.0,baseline_uniform,1762.233761838235,0.5152482904885942,204,0
225,query_cycle_6_127.graph,u1,1163.0,baseline_proxy,1328.950806311453,0.14269200886625374,204,0
225,query_cycle_6_127.graph,u1,1163.0,baseline_proxy_a,1025.5343258509185,0.11819920391150597,204,0
225,query_cycle_6_127.graph,u1,1163.0,baseline_proxy_a_unbiased_test1,1119.8568331040162,0.0370964461702354,204,0
225,query_cycle_6_127.graph,u1,1163.0,proxy_mab,1002.6075564653644,0.1379126771578982,120,0
225,query_cycle_6_127.graph,u1,1163.0,proxyE_importance,1092.7780689645974,0.06037999229183368,206,0
9,query_cycle_4_4.graph,u1,4396.0,UN,3388.449167119403,0.22919718673352985,670,0
9,query_cycle_4_4.graph,u1,4396.0,PO,3815.052261199513,0.13215371674260398,670,0
9,query_cycle_4_4.graph,u1,4396.0,MAB,3588.509721193147,0.18368750655296928,430,0
9,query_cycle_4_4.graph,u1,4396.0,FOIS_nrs,5005.427606562147,0.13863230358556575,670,0
9,query_cycle_4_4.graph,u1,4396.0,FOIS_rs,4393.024232671576,0.0006769261438634893,670,0
9,query_cycle_4_4.graph,u1,4396.0,POSS,4138.347093840031,0.058610761182886384,956,0
10,query_cycle_4_5.graph,u1,443091.0,UN,625316.8799999999,0.41126062140734043,817,0
10,query_cycle_4_5.graph,u1,443091.0,PO,410195.4432215791,0.07424108541681264,817,0
10,query_cycle_4_5.graph,u1,443091.0,MAB,399067.85527044657,0.09935463534477891,469,0
10,query_cycle_4_5.graph,u1,443091.0,FOIS_nrs,415414.6602178705,0.06246197684477795,817,0
10,query_cycle_4_5.graph,u1,443091.0,FOIS_rs,479515.39266094274,0.08220521893006796,817,0
10,query_cycle_4_5.graph,u1,443091.0,POSS,456461.29215451644,0.03017504791231698,1260,0
11,query_cycle_4_6.graph,u1,4396.0,UN,4889.335776502976,0.11222378901341581,672,0
11,query_cycle_4_6.graph,u1,4396.0,PO,4827.758837961475,0.09821629616958039,672,0
11,query_cycle_4_6.graph,u1,4396.0,MAB,3659.1496139737956,0.16761837716701647,422,0
11,query_cycle_4_6.graph,u1,4396.0,FOIS_nrs,4160.286835634782,0.053619919100368126,672,0
11,query_cycle_4_6.graph,u1,4396.0,FOIS_rs,4392.839253812981,0.0007190050470925746,672,0
11,query_cycle_4_6.graph,u1,4396.0,POSS,4644.176264810032,0.05645501929254597,986,0
12,query_cycle_4_7.graph,u1,95992.0,UN,173545.0301910486,0.8079113904392928,391,0
12,query_cycle_4_7.graph,u1,95992.0,PO,61804.876463115535,0.3561455489716275,391,0
12,query_cycle_4_7.graph,u1,95992.0,MAB,99926.63301943269,0.04098917638378914,219,0
12,query_cycle_4_7.graph,u1,95992.0,FOIS_nrs,96222.86821562087,0.0024050776691897967,391,0
12,query_cycle_4_7.graph,u1,95992.0,FOIS_rs,97379.820372917,0.014457667023470762,391,0
12,query_cycle_4_7.graph,u1,95992.0,POSS,79528.44933696602,0.17150961187426014,668,0
13,query_cycle_4_8.graph,u0,130348.0,UN,78759.62871456954,0.3957741682682547,302,0
13,query_cycle_4_8.graph,u0,130348.0,PO,86482.56920939253,0.33652553771908633,302,0
13,query_cycle_4_8.graph,u0,130348.0,MAB,121276.80560654172,0.0695921256441087,160,0
13,query_cycle_4_8.graph,u0,130348.0,FOIS_nrs,125879.7248651616,0.03427958338323875,302,0
13,query_cycle_4_8.graph,u0,130348.0,FOIS_rs,135675.12033756773,0.04086844706146415,302,0
13,query_cycle_4_8.graph,u0,130348.0,POSS,114006.49551936073,0.1253682793801153,513,0
14,query_cycle_4_9.graph,u1,1502.0,UN,1587.4614017699116,0.056898403308862595,339,0
14,query_cycle_4_9.graph,u1,1502.0,PO,1330.8878876360704,0.11392284445001968,339,0
14,query_cycle_4_9.graph,u1,1502.0,MAB,1249.6790204617266,0.16798999969259212,218,0
14,query_cycle_4_9.graph,u1,1502.0,FOIS_nrs,1548.0886675981724,0.030684865245121425,339,0
14,query_cycle_4_9.graph,u1,1502.0,FOIS_rs,1519.4992631948292,0.011650641274852967,339,0
14,query_cycle_4_9.graph,u1,1502.0,POSS,1513.6114772140356,0.007730677239704148,500,0
226,query_cycle_6_127.graph,u1,1163.0,baseline_uniform,1931.4972228883496,0.6607886697234304,206,0
226,query_cycle_6_127.graph,u1,1163.0,baseline_proxy,693.4902607341685,0.4037057087410417,206,0
226,query_cycle_6_127.graph,u1,1163.0,baseline_proxy_a,1174.7075834923871,0.010066709795689707,206,0
226,query_cycle_6_127.graph,u1,1163.0,baseline_proxy_a_unbiased_test1,1352.1747568547457,0.162661011912937,206,0
226,query_cycle_6_127.graph,u1,1163.0,proxy_mab,1001.2069097663269,0.139117016537982,140,0
226,query_cycle_6_127.graph,u1,1163.0,proxyE_importance,1170.2509805509799,0.006234721024058362,209,0
15,query_cycle_6_104.graph,u2,111915.0,UN,155780.4613650177,0.3919533696557002,283,0
15,query_cycle_6_104.graph,u2,111915.0,PO,150516.41540738876,0.34491726227394687,283,0
15,query_cycle_6_104.graph,u2,111915.0,MAB,343816.9990968146,2.0721261591101694,184,0
15,query_cycle_6_104.graph,u2,111915.0,FOIS_nrs,110709.4150489787,0.010772326774974767,283,0
15,query_cycle_6_104.graph,u2,111915.0,FOIS_rs,103320.62485990298,0.07679377331096833,283,0
15,query_cycle_6_104.graph,u2,111915.0,POSS,101739.70413283925,0.0909198576344614,509,0
16,query_cycle_6_106.graph,u2,111915.0,UN,104949.66958981818,0.06223768404755235,275,0
16,query_cycle_6_106.graph,u2,111915.0,PO,102533.72535102355,0.0838249979803999,275,0
16,query_cycle_6_106.graph,u2,111915.0,MAB,6693.561756679924,0.9401906647305551,182,0
16,query_cycle_6_106.graph,u2,111915.0,FOIS_nrs,110299.23662522335,0.014437415670612986,275,0
16,query_cycle_6_106.graph,u2,111915.0,FOIS_rs,108074.15624392209,0.03431929371467554,275,0
16,query_cycle_6_106.graph,u2,111915.0,POSS,116639.14639520539,0.04221191435647938,489,0
17,query_cycle_6_109.graph,u2,111915.0,UN,78615.25508571428,0.2975449663966914,280,0
17,query_cycle_6_109.graph,u2,111915.0,PO,99889.0852995856,0.10745578966549973,280,0
17,query_cycle_6_109.graph,u2,111915.0,MAB,100415.46660594508,0.10275238702635855,173,0
17,query_cycle_6_109.graph,u2,111915.0,FOIS_nrs,111326.98913111155,0.005254084518504671,280,0
17,query_cycle_6_109.graph,u2,111915.0,FOIS_rs,132329.37694657966,0.18240965863896408,280,0
17,query_cycle_6_109.graph,u2,111915.0,POSS,105259.39994118152,0.05947013410908711,488,0
18,query_cycle_6_112.graph,u2,5454872.0,UN,10021881.548903223,0.8372349614992292,310,0
18,query_cycle_6_112.graph,u2,5454872.0,PO,5717989.563538438,0.04823533229348694,310,0
18,query_cycle_6_112.graph,u2,5454872.0,MAB,6776505.068852346,0.24228489116744562,183,0
18,query_cycle_6_112.graph,u2,5454872.0,FOIS_nrs,6062432.447580616,0.11137941414218629,310,0
18,query_cycle_6_112.graph,u2,5454872.0,FOIS_rs,5999915.087317185,0.09991858421557546,310,0
18,query_cycle_6_112.graph,u2,5454872.0,POSS,5260280.6225319905,0.035672950248513524,458,0
19,query_cycle_6_113.graph,u1,846918.0,UN,659713.5072185431,0.2210420522192903,302,0
19,query_cycle_6_113.graph,u1,846918.0,PO,810231.2444844791,0.043317954649117064,302,0
19,query_cycle_6_113.graph,u1,846918.0,MAB,736329.4877713786,0.130577591016629,181,0
19,query_cycle_6_113.graph,u1,846918.0,FOIS_nrs,915242.348880843,0.08067410172040626,302,0
19,query_cycle_6_113.graph,u1,846918.0,FOIS_rs,741176.6171595996,0.1248543339973887,302,0
19,query_cycle_6_113.graph,u1,846918.0,POSS,727098.195661879,0.14147745630405892,479,0
20,query_cycle_6_116.graph,u1,626370.0,UN,436364.5329545455,0.3033438176244943,154,0
20,query_cycle_6_116.graph,u1,626370.0,PO,554317.5068834827,0.11503183919491246,154,0
20,query_cycle_6_116.graph,u1,626370.0,MAB,67520.44344376253,0.8922035802420893,101,0
20,query_cycle_6_116.graph,u1,626370.0,FOIS_nrs,554740.4861620339,0.11435655257749595,154,0
20,query_cycle_6_116.graph,u1,626370.0,FOIS_rs,718845.5493861192,0.14763725814793052,154,0
20,query_cycle_6_116.graph,u1,626370.0,POSS,664591.2926854467,0.06102031177330759,298,0
227,query_cycle_6_127.graph,u2,1163.0,baseline_uniform,749.6286837254902,0.3554353536324246,204,0
227,query_cycle_6_127.graph,u2,1163.0,baseline_proxy,536.4670002031447,0.5387214099715006,204,0
227,query_cycle_6_127.graph,u2,1163.0,baseline_proxy_a,1113.2706422778224,0.0427595509219068,204,0
227,query_cycle_6_127.graph,u2,1163.0,baseline_proxy_a_unbiased_test1,1216.279152132454,0.04581182470546354,204,0
227,query_cycle_6_127.graph,u2,1163.0,proxy_mab,973.6553975344622,0.16280705285084937,135,0
227,query_cycle_6_127.graph,u2,1163.0,proxyE_importance,1227.565811638854,0.05551660502051077,207,0
21,query_cycle_6_118.graph,u1,626370.0,UN,1290833.464012739,1.0608162332371267,157,0
21,query_cycle_6_118.graph,u1,626370.0,PO,575270.1724084539,0.08158089881626852,157,0
