comments,body,bodywithurls,createdAt,createdAtformatted,creator,datatype,depth,depthRaw,followers,following,hashtags,id,lastseents,links,media,posts,sensitive,shareLink,upvotes,urls,username,verified,article,impressions,preview,reposts,state,parent,color,commentDepth,controversy,downvotes,post,score,isPrimary,conversation,replyingTo
1,That'svery interesting...,"That'svery interesting...
",20200902122748.0,2020-09-02 12:27:48 UTC,dff346b227ef4496a1fb3fb5f689a66e,comments,2.0,2.0,76.0,116.0,[],e778e766e7c5440892b2dc0268c9cfeb,2021-01-09T10:14:48.160623+00:00,[],6.0,51.0,False,https://parler.com/comment/e778e766e7c5440892b2dc0268c9cfeb,0.0,[],Natashacharlton,False,,,,,,045688da9a14424fb71ec5b4e9b8ceca,#3f9f7f,1.0,0.0,0.0,ca545fbc1f924fcf8348088d99d6bd6a,0.0,,7208b13e0015433e9e40cb759585ce56,
1,SAFE CITIES.,"SAFE CITIES.
",20201021230818.0,2020-10-21 23:08:18 UTC,e11890c2ffc348df9cb703651a3cc9c0,comments,1.0,1.0,16000.0,9200.0,[],dc6dac9887d343aaa7497793ae1cdd96,2020-12-19T08:06:14.227039+00:00,[],7300.0,69000.0,False,https://parler.com/comment/dc6dac9887d343aaa7497793ae1cdd96,1.0,[],LibertyElaine,False,,,,,,978fae5f66b244a58d2f00ff7090ff3e,#a60303,0.0,0.0,0.0,978fae5f66b244a58d2f00ff7090ff3e,1.0,True,,
0,Hooray! Awesome!,"Hooray! Awesome!
",20200928223352.0,2020-09-28 22:33:52 UTC,3e599431325943e8bbb91da0e6c7a331,comments,4.0,4.0,11000.0,18000.0,[],e296f26d0b4a42ffb9c909336ad35c1b,2020-12-30T08:48:49.515921+00:00,[],0.0,17000.0,False,https://parler.com/comment/e296f26d0b4a42ffb9c909336ad35c1b,0.0,[],debbygold127,False,,,,,,f0da2a9c881942bf95fe01d0f61be627,#a60303,0.0,0.0,0.0,f0da2a9c881942bf95fe01d0f61be627,0.0,True,,
0,Sorry but that makes no sense.,"Sorry but that makes no sense.
",20201104000001.0,2020-11-04 00:00:01 UTC,e709ecee5f684ac6b4b8f3a1f9609d9a,comments,1.0,1.0,152.0,119.0,[],77819a6499864e298c51a1e99f794024,2021-01-09T22:34:24.832251+00:00,[],0.0,484.0,False,https://parler.com/comment/77819a6499864e298c51a1e99f794024,0.0,[],Sabrinamre,False,,,,,,69d2461913bf4ee8b788962135a37af2,#a60303,0.0,0.0,0.0,69d2461913bf4ee8b788962135a37af2,0.0,True,,
0,Not getting too excited but I really pray so!,"Not getting too excited but I really pray so!
",20201005194656.0,2020-10-05 19:46:56 UTC,49ca9805c41f4a2389cfa2f14531fde8,comments,1.0,1.0,57.0,77.0,[],7f1c2969dad84e33bd2f3bb8ac7faa1c,2021-01-11T06:02:55.054054+00:00,[],1.0,4.0,False,https://parler.com/comment/7f1c2969dad84e33bd2f3bb8ac7faa1c,0.0,[],one4all2020,False,,,,,,6004dfa414ed443ca2c065af395289d1,#a60303,0.0,0.0,0.0,6004dfa414ed443ca2c065af395289d1,0.0,True,,
0,Easy so will graham IMO,"Easy so will graham IMO
",20201103233627.0,2020-11-03 23:36:27 UTC,696c93e2e3864a42bf19d891c6a2c5da,comments,2.0,2.0,22.0,29.0,[],4889f085971f4ad6bc1008e65cfb4bdf,2021-01-06T05:53:34.382562+00:00,[],0.0,2.0,False,https://parler.com/comment/4889f085971f4ad6bc1008e65cfb4bdf,2.0,[],Rmhorrorfan,False,,,,,,147ed11671894538b87a59bdb16eb07d,#808080,1.0,0.0,0.0,69d2461913bf4ee8b788962135a37af2,2.0,False,,
0,Trump knows exactly what he is doing,"Trump knows exactly what he is doing
",20201116003445.0,2020-11-16 00:34:45 UTC,d8f99762a64a4b74a68a789fff021c14,comments,1.0,1.0,608.0,1100.0,[],e19b77f0c4964c2994bb4d06a77a6194,2020-12-04T00:28:44.982158+00:00,[],520.0,1100.0,False,https://parler.com/comment/e19b77f0c4964c2994bb4d06a77a6194,1.0,[],SherryAndersonZumo,False,,,,,,2e4ee036e8924f65b611e290d95737cd,#a60303,0.0,0.0,0.0,2e4ee036e8924f65b611e290d95737cd,1.0,True,,
0,I certainly haven't given up. The ppl who have are no Christians bc without faith you cannot believe in Jesus Christ.,"I certainly haven't given up. The ppl who have are no Christians bc without faith you cannot believe in Jesus Christ.
",20201121052500.0,2020-11-21 05:25:00 UTC,7410c72d4175425290a87c909908a3ca,comments,1.0,1.0,108.0,243.0,[],34dfd79ffe5c47548f47344d1c3fcfd7,2020-12-03T12:39:54.518554+00:00,[],0.0,96.0,False,https://parler.com/comment/34dfd79ffe5c47548f47344d1c3fcfd7,3.0,[],Labellamichelle2,False,,,,,,a069ea167bc64f0dad6fa030e7d66b23,#a60303,0.0,0.0,0,a069ea167bc64f0dad6fa030e7d66b23,3.0,True,,
1,@ps18212022 You are very welcome! No pressure if it’s too expensive for you! I hope it’s within your price range! Let me know how it goes! 💐😊,"@ps18212022 You are very welcome! No pressure if it’s too expensive for you! I hope it’s within your price range! Let me know how it goes! 💐😊
",20190909190407.0,2019-09-09 19:04:07 UTC,0f90060e69794aa8a1d8c28b56adc22f,comments,7.0,7.0,10000.0,14000.0,[],de622b94df43424fa53a378c790baf9d,2020-12-13T11:54:49.601608+00:00,[],403.0,23000.0,False,https://parler.com/comment/de622b94df43424fa53a378c790baf9d,0.0,[],Climmyr50,False,,,,,,d9c9fd5e4a0b400ab476314a07937e81,#df529f,1.0,0.0,0.0,ce2c5a368f374e69adbcc3646071008f,0.0,,ce291399d7854c61a0b0b27f14c46dbf,3a25e403e4dc4f368af4e94a1b7aaa7c
1,"They may not be, but I am happy you posted this. Patriot!!","They may not be, but I am happy you posted this. Patriot!!
",20201127143646.0,2020-11-27 14:36:46 UTC,1176d47b75f0477ba1b2ef99d8d52465,comments,4.0,4.0,79.0,108.0,[],7674903ad84347cfb3c38fc79f2d0941,2020-12-24T09:46:56.953351+00:00,[],5.0,1100.0,False,https://parler.com/comment/7674903ad84347cfb3c38fc79f2d0941,2.0,[],Epdet1,False,,,,,,01180b83549e45188a2b4e1f8372acb0,#a60303,0.0,0.0,0.0,01180b83549e45188a2b4e1f8372acb0,2.0,True,,
1,Good morning ☀️. Ready for another Trumptastic week?,"Good morning ☀️. Ready for another Trumptastic week?
",20201026113537.0,2020-10-26 11:35:37 UTC,8affcd43adee4f41bb9a7661c0eea697,comments,2.0,2.0,17000.0,20000.0,[],8cf0fab672304828ac1e48fec10de793,2021-01-09T18:51:36.313136+00:00,[],1100.0,4500.0,False,https://parler.com/comment/8cf0fab672304828ac1e48fec10de793,1.0,[],TiffanythePatriot,False,,,,,,e726a8e8814e493a8c1e089861b44302,#1fbf5f,1.0,0.0,0.0,4a136471b98b4e0a99caca25c3d0b66e,1.0,,dd13d98abd7344e58489f4031f242148,
0,One murders to get 70 virgins .....The other flights to defend the Constitution. Foreign and domestic.,"One murders to get 70 virgins .....The other flights to defend the Constitution. Foreign and domestic.
",20200903175729.0,2020-09-03 17:57:29 UTC,bdcabc73455144a2971915809c8fe44a,comments,2.0,2.0,11.0,13.0,[],a5c7f6210a5044949df84338f2087070,2021-01-09T23:43:42.881721+00:00,[],7.0,138.0,False,https://parler.com/comment/a5c7f6210a5044949df84338f2087070,0.0,[],Jjminn75,False,,,,,,4601a1a736764d0b927ae73e1cbbe003,#3f1fce,1.0,0.0,0.0,1322d6ec08a3405bbea8e473aea0803b,0.0,,9dce5a68fdab4438bb4228d6f3c808b2,
