id,comments,body,createdAt,creator,score,sensitive,upvotes,username,post
df2752b050694e9f9a70eb59ddfdfffd,3,"EXCLUSIVE: Former ‘Dominion’ Project Manager Executed $25 Million Contract with State of Michigan While Serving As Dem Vice Chair!!😳😳🙄 

WAIT!!! WHAT!!?...

🚨🚨🚨🚨ECHOOOOOO

#InGodWeTrust 
#VoteTrump2020ToSaveAmeric
#teamtrump 
#StopTheFruad 
#stopthesteal 
#parler
#canada
#parlercanada
#parlerusa
#slowjoe
#parl
#recountthevotes 
#evangelical #trump #christianity #church #christian #jesus #bible #religion #gop #evangelicals #god #gospel #conservative #maga #americafirst #faith #exvangelical #republicans #covid #donaldtrump #pastor #baptist #truth #theology #apologetics #catholic
#instagram #follow #history #biden #indianpolitics #a #amitshah #art #instagood #blacklivesmatter #berniesanders #libertarian #makeamericagreatagain #socialism #republicans #joebiden #indian #kag #democracy #communism #delhi #blm",20201116232616.0,6989bdbf18804002a0095c40e6e28e65,,False,32.0,LadyTKelso,
a7a2df587d1948608c326c6d4342998a,3,"Biden picks Harris for running mate? I mean 2020 has been a joke so far so this is fitting 😂 
Picking her only to attempt to get the women and black vote. More virtue signaling and just like most that do it, it’ll backfire for you. 
I can’t wait to see Pence and Harris debate! 
#biden2020 #BidenHarris #election2020 #trump2020 #kamalaharris",20200811202936.0,c2ab6291c29b4afe1c40d61384bd2c9b,,False,4.0,KalebConner,
ae8e1cd0f92e46669498082b901516cb,2,Thank God for #OANN last night it was so annoying to try to watch #PresidentTrump on #FoxNews immediately I had to turn it off! I can not wait until all cable tv has OANN as an option it is so annoying not to have them on TV. I hate streaming on my laptop!,20200704155240.0,ef0fab7a29ce46938fd4b50c1a0c8d4a,,False,2.0,TrumpParty6365,
0539090041ed42c396bdf96bc5f618de,2,Are you aware of democrats voting trump ? I know 3 life long democrats for Trump,20201016141914.0,14d76221060e42abab93015ee2afe43d,,False,1.0,American212,
641224599a264963ad1aede249bac533,2,#parler #parlerksa #trump2020 #meme,20200829012907.0,20039929947b40788943b6d52f658e7d,,False,40.0,tjf2020,
5a1075f6bf924f19a5e5907e9aa4c257,2,#trumpwon,20201211040057.0,11caffddf11b4439aa2b5a412f93f1f4,,False,6.0,Mishellespry,
0f2ed35d9ec64205932603d4616087aa,2,"A Category 6 Huracan name “RED” is schedule to hit the USA on November 3 2020
We expect for the entire country to turn RED!!
We the People of the United States of America will re-elect President Donald J Trump",20201031150902.0,438404d6e73d47ad93b7a2820b739d23,,False,2.0,jordan52,
7ff26438459d44139acd20d1e7084107,2,"I think we need to take a moment to assess why the #Democrat Party is so terrible at being #Socialist (as their mainstream want) let alone #Communist (as the AOC/Sanders types want).

It's really very simple: they've become so enamored of the notion that ""less educated"" means ""uneducated"", that they reflexively look down their patronizing noses at #Labor - the masses which have always been necessary to making Socialism and Communism possible. Coalminers and steelworkers don't need advanced degrees. These have been cast off by the Democrats, who think of them as ""owned"" rather than ""earned"" votes.

This leaves only the ""intellectual"" wing of the Socialist/Communist movements to hold power and influence in the Democrat Party. That's why their ""revolutionaries"" are dominated by white upper-middle-class college kids.

And that's why they will fail. Because the ""uneducated"" working classes are in the #Trump camp.",20200915160000.0,9a681a18835640aa945a9a17a0def8d3,,False,2.0,Calbeck,
fe5e7c105e9546989005cb74460caeab,2,"TRUMP: Fox News 'is dead' | Just The News

Bye bye fox",20201216231959.0,b28e284cf6da4cf1a8fc82c617379f15,,False,3.0,Earljam818,
489ab60cc2fd48b3976f5b767e0e1fc4,2,"I don't know about you but I am DONE with Fox News. Disgraceful conduct during the election!

#electionfraud #stolenelection #vote #election #election2020 #confrimed #scotus #acb #amyconeybarrett #senate #senaterepublicans #hunter #hunterbiden #ukraine #burisma #pelosi #DEBATE #wallace #chriswallace #debate2020 #debates #msnbc #fox #foxnews #biden #JoeBiden #2020 #TRUMP #TRUMP2020 #MAGA #KAG #meme #memes #Parler #Democrats #Democrat #Republican #Republicans #CHINA #gunowners #guns #gunssavelives #vote #usps #abortion #riots #nationalguard #obama #barackobama #barack #biden #kamala #phonykamala #harris #kamalaharris #nafta #usmca #Michigan #pennsylvania #newjersey #NewYork #california #Cuomo #tomwolf #philmurphy #Whitmer #Newsom #corona #Covid19 #covid #chinesevirus #wuhanflu #wuflu #communism #socialism #communist #socialist #Capitalism #capitalist #treason #America #americans #anarchists #antifa #antifaterrorists",20201110031528.0,aa391a092bc04ffdb2deb37f0576d2a2,,False,70.0,PennsylvaniaGazette,
33a784c3d6284087b16c81abd0521791,2,AOC Calls Out Trump Economic Adviser for Saying Republicans Will Not Budge on Coronavirus Relief,20201119220104.0,8cb0c50fce61469c95869bfe5527edc2,,False,2.0,ShannonPatriot,
ea7cf11ec4b640259dd614c131044473,2,"I'm a huge fan of the Kentucky Wildcats and cover football recruiting for ""A Sea of Blue. I have almost 600 followers on Twitter which all are part of the #BBN 

However, as a conservative and Trump supporter I just can not handle Twitter anymore. This is why Ihave joined @parler and hope to gain followers on here as well. Hoping @Dbongino who Iam a huge fan of, can help me gain some followers lol",20200630200139.0,92f2fcc274a74a4582f95589805fc885,,False,0.0,Dustincordell30,
f90b546f45574627a01695a3dae7b64d,2,@teamtrump @TedCruz,20201121211528.0,e11890c2ffc348df9cb703651a3cc9c0,,False,20.0,LibertyElaine,
4928c1a143084f848e72d0b3f5eebbb8,2,"@teamtrump needs a complete audit and recount. 

#trump2020 #trump #freedom #realdonaldtrump #maga #maga2020 #votered #votetrump2020 #votetrump #tomilahren #seanhannity #foxnews #hunterbiden #truth #parlerusa #potus #coronavirus #usarmy #whitehouse #deplorables #deplorable #unitedstates #parleruk #magadeathcult #strongertogether #california #godwins #election #politics #democrat #kamalaharris #electionfraud #qarmy #wwg1wga #news #neverbiden #prolife #fakenews #rolemodel #trumppence2020 #pennsylvania #qanon #strongertogether #unitedwestand #saveourchildren #keepamericagreat #wakeupamerica #makeamericagreatagain #covid19 #tuckercarlson #istandwithtucker #tuckercarlsonshow #cnnfakenews #cnnsucks #trumpmemes #blacksfortrump #ingrahamangle #foxnews #AZ #GA #KyleRittenhouse #censorship #DeactivateTrump #mondaymotivation #mondaythoughts",20201117042744.0,62740dc858684cfebce0c72b37e8e234,,False,6.0,LTDavidAragon,
8af8f30619764b399abfe6db8fca772d,2,#parler #parlerksa #trump2020 #maga #meme #fightback #trumptrain #NWO #Anonymous,20201206144807.0,20039929947b40788943b6d52f658e7d,,False,152.0,tjf2020,
cef5beb763a54dd6b0efef5b836bfa5f,2,"It's Tuesday, December 15, 2020
Donald Trump is still President",20201215234621.0,5c7e71f128ad4780a8288badc94cbea6,,False,47.0,Jimblohm,
9d4cb8aaf3164df5abee03917fa2daf0,2,"The goal of Gang Stalking is murder. In other words, participants in Gang Stalking are people who have killed people. (That's COINTELPRO in a nutshell.) Gang Stalking is the same as ""Unrestricted Warfare"" (CCP's method of warfare). Non-professional military personnel (foreigners pretending to be Japanese) use non-conventional weapons (illegal radio equipment) to wage war against innocent civilians (ordinary Japanese) on a battlefield of non-military significance (everyday living space) beyond the boundaries and limits of the military domain. #TRUMP2020 #WWG1WGA #GOGOTRUMP！ #中国共産党日本支部(日本名S) #外国人が多数を占める（日本人は少数）#NK #25=51=88 #日帝が憎い人々",20201222000847.0,e6d29f9bf81447c5ae8c700ed4b2ddb4,,False,0.0,sugisitaukyou,
1f940bf68c444d5c97a88d5058870055,2,"Thank you Jerrold Nadler for your impeach Trump fantasy which will insure his win again in 2020.

You stupid, fat little man!",20190924235201.0,ac05f68fc0b442a2bf380a435a0286c6,,False,2.0,TexasTony,
aafab23998d44327933fdd045ec2dec6,2,"Trump Signs Proclamation Protecting Taxpayers From Paying for Health Care for the Undocumented ⋆ He keeps fighting for all Americans, whether some understand it or not... ⋆ Flag And Cross. They should be MADE TO PAY UP FRONT when going to the hospital! No more free shit at our expense",20191005152958.0,185147e1d8c00856cab0c4258c56d4bb,,False,1.0,go4gin,
20c6028d6e69475d8ab5dd51cbba7c1b,2,"Trump Slams Democrat Climate Change Cult, ""Your Way of Life is Under Assault by These People"" (VIDEO)",20190910033620.0,e56a6020cc6845f0a0881a0b6a82a4d3,,False,4.0,KenRuss2828,
e3da9a5178d844e48046b9052b8f2790,2,"So when is the DHS going to agree with President Trump and declare these ""Brown Shirts"" for what they are criminal terrorists.",20201017023805.0,5e15d71f0ef849dfbb4b88e4b8ae33f3,,False,7.0,Nalknance,
efbddefab79445b0b92fb403453f5853,2,keep Barr far away! Trump is shitting his depends!,20200702155342.0,46afb97961ca4220998debf8f0837afd,,False,0.0,hwcorwin,
5f0ae8c2abc84afea434079a0f78920b,2,Kellyanne Conway Drops a BOMB -- Implicates Obama in Oval Office Scheme to Destroy Trump (VIDEO),20200501230637.0,185147e1d8c00856cab0c4258c56d4bb,,False,1.0,go4gin,
604bfd8224184ce886f9d221413f0a4b,2,"Contrary to the claims of the phony lying Fake News Media and the indoctrinated and Communist left, President Trump has kept his word to us for the past 4 years. If he says that he’ll come out the winner of the 2020 election, why would I or anyone else have reason to doubt him? Those who are conspiring against him had best proceed with a bit of caution. As we’ve learned with our POTUS, things are never what they seem.",20201118030116.0,76d9395fbc50491698d3d6766d499f56,,False,31.0,Lyndensartain,
bd7f5e68037b44df92e55021a7ef46b7,2,"A Unified Field Theory for Democratic Nominees (which Biden Doesn’t Fit) | Power Line

The polls are wrong. There is NO WAY Biden is that far out in front of President Trump. But I have a theory: Dems have figured out a way to cheat to win; the polls are providing cover. What say you?",20200526125540.0,2f61f1a977834d33a96f16532c507f1f,,False,1.0,Mountainaires,
